pub_id,a_lead_id,a_contributing_id,a_year,a_date,a_publisher,a_pub_name,a_doi,a_isxn,a_scopus
31,2,,,,,"Advances in Human Factors and Ergonomics in Healthcare, Advances in Intelligent Systems and Computing 482",,,
31,8,,,,,"Advances in Human Factors and Ergonomics in Healthcare, Advances in Intelligent Systems and Computing 482",,,
31,41,,,,,"Advances in Human Factors and Ergonomics in Healthcare, Advances in Intelligent Systems and Computing 482",,,
31,93,,,,,"Advances in Human Factors and Ergonomics in Healthcare, Advances in Intelligent Systems and Computing 482",,,
32,145,,2016,,,"Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 485",,,
32,29,,,,,"Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 485",,,
32,76,,,,,"Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 485",,,
32,81,,,,,"Advances in Ergonomics in Design, Advances in Intelligent Systems and Computing 485",,,
33,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
34,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
34,21,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
34,22,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
34,47,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
34,137,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
35,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
35,13,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
35,42,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
35,74,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
36,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
36,12,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
36,24,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
36,119,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
37,145,,2017,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
37,65,,,,Proceedings of The 2nd Asian Conference on Ergonomics and Design 2017,"The Japanese Journal of Ergonomics. Vol. 53, Issue Supplement 2
",,,
